cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"['J', 3]",['S'],[],[],[],[],"[4, 'J', 6]",-100
"[10, 3, 4]",['DD'],[],[],[],[],"['A', 8, 'J']",-200
"[3, 8, 'K', 'A']","['H', 'DD']",[],[],[],[],"[6, 2, 7, 'Q']",200
"[8, 6, 9]",['DD'],[],[],[],[],"[2, 'K', 5]",-200
"['J', 8]",['S'],[],[],[],[],"[2, 5, 10]",100
"['A', 'Q']",['S'],[],[],[],[],"[8, 'J']",-100
"[7, 2]",['S'],[],[],[],[],"[7, 2, 'A', 10]",-100
"[5, 4, 2]",['DD'],[],[],[],[],"[10, 10]",-200
"[3, 6]",['S'],[],[],[],[],"[5, 9, 10]",100
"[3, 10]",['S'],[],[],[],[],"[7, 'J']",-100
"[8, 3, 'Q']",['DD'],[],[],[],[],"['Q', 4, 3]",200
